Org_Name,Program_or_Clinic_Name,Parent_Org,Org_Type,Website,Main_Phone,General_Email,Main_Address_Line1,City_Town,State,ZIP,County,Number_of_Locations,Service_Area,Location_Type,Telehealth_Available,Telehealth_Service_Area,Serves_Refugees,Serves_Asylum_Seekers,Serves_Undocumented,Serves_Regardless_of_Immigration_Status,Specific_Communities_Focus,Service_Modalities,Clinical_Therapy,Psychiatric_Services,Home_or_Community_Based_Services,Traditional_or_Cultural_Healing,Immigration_Case_Evals_Asylum,Immigration_Legal_Services_Onsite_or_Partner,Legal_Mental_Health_Integrated,Settings,Other_Support_Description,Languages_Spoken_By_Staff_Other_Than_English,Bilingual_Clinicians_Languages,Interpreter_Services_Available,Interpreter_Languages,Cultural_Specific_Programs,Accepts_MassHealth,Accepts_Medicare,Accepts_Commercial_Insurance,Serves_Uninsured,Sliding_Scale_or_Low_Cost,Payment_Notes,Eligibility_Criteria,Other_Special_Expertise,Key_Programs_for_Immigrants,Community_Partners,Qualitative_Notes,Data_Source,Source_URL,,Latitude,Longitude,"Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"AdCare (American Addiction Centers)","AdCare Outpatient – Boston (Substance Use and Co-occurring Mental Health)","American Addiction Centers","Residential/Detox; Hospital Outpatient",https://adcare.com/,"(617) 604-0078",Unknown,"14 Beacon Street (Boston outpatient site per directories); also listed at 50 Congress Street",Boston,MA,2108,Suffolk,"1 (Boston outpatient)","Boston / Greater Boston",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Substance Use Counseling; Individual Therapy; Group Therapy; Psychiatric Medication Management; MAT",Yes,Yes,No,No,No,No,No,Clinic,"Outpatient substance use disorder treatment; dual diagnosis; CBT; DBT; IOP; MAT; court-ordered; Deaf/HoH services; LGBTQ+-friendly; dual diagnosis; 12-step facilitation",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,"MassHealth, Medicare, commercial, military, self-pay; sliding scale; payment assistance","All ages; adults and adolescents; co-occurring mental health","Dual diagnosis; IOP; DBT; MAT; court-ordered treatment; Deaf/HoH",Unknown,"Community courts; probation; community referrals","AdCare's Boston outpatient site provides substance use disorder treatment with dual diagnosis capacity, including CBT, DBT, IOP, MAT, and court-ordered programs. Services for Deaf and Hard of Hearing are noted. AdCare accepts MassHealth, Medicare, commercial, and military insurance, as well as offering payment assistance.","addictionnomore.com; drugrehabus.org; AdCare website",https://adcare.com/,,42.357849,-71.062401,1,rooftop,"14 Beacon St","Ste PER","Boston, MA 02108",,14,"Beacon St",Ste,PER,Boston,MA,,"Suffolk County",02108,US,,"City of Boston",gcod_usn6dhclurwmdr7bn7pd48nrpr36g-p8nvth6l3axef,building_centroid
Advocates,"Advocates Behavioral Health Urgent Care – Plymouth","Advocates (formerly Family Continuity, merged July 2024)","Crisis/Urgent Care; Community Mental Health Clinic",https://advocates.org/services/counseling-psychiatry,"(508) 661-2038",Unknown,"118 Long Pond Road, Suite 106",Plymouth,MA,2360,Plymouth,"9 (MA-wide)","Plymouth and surrounding South Shore communities",Hybrid,Yes,Massachusetts,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Psychiatric Medication Management; Care Coordination; Medication for Addiction Treatment; Crisis Intervention",Yes,Yes,No,No,No,No,No,Clinic,"Behavioral Health Urgent Care (BHUC) with same-day/next-day evaluation; psychiatry and addiction medication evaluation within 72 hrs; follow-up within 14 days; extended hours; older adult services; child/family services",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,"Sliding-scale fee schedule for uninsured; accepts MassHealth, Medicare, and most commercial plans","All ages","Urgent care behavioral health; addiction medicine evaluations; TMS (at Marlborough)",Unknown,"Advocates' Plymouth clinic is a state-designated Behavioral Health Urgent Care center offering same-day/next-day evaluation, psychiatry, and addiction medication evaluations with expedited follow-up. The Plymouth site was formerly operated by Family Continuity, which merged into Advocates in July 2024. MassHealth, Medicare, and most commercial insurance accepted; sliding scale available.","Org website",https://advocates.org/services/counseling-psychiatry,,,41.923044,-70.655849,1,rooftop,"118 Long Pond Rd","Ste 106","Plymouth, MA 02360",,118,"Long Pond Rd",Ste,106,Plymouth,MA,,"Plymouth County",02360,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjw2hkn24hbk7525lq9fczxmrzb-29yln244qf7l9,building_centroid
Advocates,"Advocates Behavioral Health Urgent Care – Brockton (via Marlborough/Plymouth network)",Advocates,"Crisis/Urgent Care; Community Mental Health Clinic",https://advocates.org/services/counseling-psychiatry,"(508) 661-2038",Unknown,"Unknown (Brockton area; see advocates.org for nearest site)",Brockton,MA,2301,Plymouth,"9 (MA-wide)","Brockton and surrounding Plymouth County communities",Hybrid,Yes,Massachusetts,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Psychiatric Medication Management; Crisis Intervention; Addiction Medication",Yes,Yes,No,No,No,No,No,Clinic,"Home-based therapy; CBHI; therapeutic mentoring; mobile crisis intervention; older adult services; in-home and community-based services",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,"Sliding scale for uninsured; MassHealth; Medicare; most commercial plans","All ages","Urgent access; home-based; older adult",Unknown,"Advocates operates Behavioral Health Urgent Care clinics across eastern Massachusetts, including Plymouth, providing same-day/next-day access, extended hours, psychiatry, addiction medication evaluations, and follow-up care. It accepts MassHealth, Medicare, and most commercial plans, with a sliding fee scale for uninsured patients.","Org website",https://advocates.org/services/counseling-psychiatry,,,42.079399,-71.03999,1,place,,,"Brockton, MA 02301",,,,,,Brockton,MA,,"Plymouth County",02301,US,,"TIGER/Line® from the US Census Bureau",,
"Advocates (formerly Family Continuity Programs)","Outpatient Mental Health Clinic – Lawrence",Advocates,"Community Mental Health Clinic",https://advocates.org,"(978) 687-1617",Unknown,"360 Merrimack Street",Lawrence,MA,1843,Essex,"2 Essex sites (Lawrence; Peabody); multiple statewide","Lawrence; Merrimack Valley",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Group Therapy; Psychiatric Medication Management; Care Coordination; Home_or_Community_Based_Services; Other (CBHI; integrated care; jail diversion)",Yes,Yes,Yes,No,Unknown,Unknown,Unknown,"Clinic; Home-based; School/College","Full outpatient MH and SUD clinic; CBHI (in-home therapy; therapeutic mentoring; family partners; flexible family and youth supports); integrated care (BH clinicians at GLFHC schools); jail diversion; community support programs; case management; psychiatry; school-based integrated care at Greater Lawrence Family Health Center sites",Spanish,Spanish,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,"MassHealth, Medicare, private insurance, sliding scale","All ages (children through seniors)","Jail diversion; integrated care at GLFHC; CBHI; school-based MH","Greater Lawrence Family Health Center; local courts; GLCAC","Advocates (formerly Family Continuity Programs) operates two Essex County outpatient clinics in Lawrence and Peabody. The Lawrence site is particularly noteworthy for its integrated care clinicians embedded at Greater Lawrence Family Health Center sites and its jail diversion program. Spanish-speaking clinicians available.","Advocates website; Guidestar; DMH Northeast directory",https://advocates.org,,,42.703759,-71.143502,1,rooftop,"360 Merrimack St",,"Lawrence, MA 01843",,360,"Merrimack St",,,Lawrence,MA,,"Essex County",01843,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnhmlpa7946cf8dsp9e9ju7wmyxb,building_centroid
"Advocates (formerly Family Continuity Programs)","Outpatient Mental Health Clinic – Peabody",Advocates,"Community Mental Health Clinic",https://advocates.org,"(978) 927-9410",Unknown,"200 Corporate Place, Suite 6A",Peabody,MA,1960,Essex,"2 Essex sites (Lawrence; Peabody); multiple statewide","Peabody; North Shore; Essex County",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Group Therapy; Psychiatric Medication Management; Care Coordination; Home_or_Community_Based_Services; Other (CBHI; A-CRA for adolescents)",Yes,Yes,Yes,No,Unknown,Unknown,Unknown,"Clinic; Home-based; School/College","Full outpatient MH and SUD clinic; CBHI; adolescent substance use program (Adolescent Community Reinforcement Approach/A-CRA); community support programs; psychiatric evaluation for adults and children; in-home therapy; therapeutic mentoring; integrated care at Peabody Middle Schools",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,"MassHealth, Medicare, private insurance, sliding scale","All ages (children through seniors)","A-CRA adolescent SUD; school-based BH (Peabody Middle Schools); CBHI","Peabody Middle Schools; local courts","Advocates' Peabody clinic offers outpatient mental health and substance use services for all ages, including an Adolescent Community Reinforcement Approach (A-CRA) program for teen SUD. Integrated care clinicians are placed in Peabody middle schools. CBHI home-based services are available in the community.","Advocates website; Guidestar; rehab.com",https://advocates.org,,,42.519904,-70.996117,1,rooftop,"200 Corporate Pl","Ste 6A","Peabody, MA 01960",,200,"Corporate Pl",Ste,6A,Peabody,MA,,"Essex County",01960,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnbfd3d4j8sppbbt8g2asnfptfc2-9prau7mwksmad,building_centroid
"Advocates Community Counseling","Outpatient Mental Health and SUD – Haverhill",Advocates,"Community Mental Health Clinic",https://advocates.org,Unknown,Unknown,"Unknown (Haverhill, MA)",Haverhill,MA,1830,Essex,"Multiple (also in Haverhill per Psychology Today)","Haverhill and northern Essex County",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Group Therapy; Psychiatric Medication Management",Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Clinic,"Outpatient mental health and substance use treatment; all ages; reduced wait times; accessible services regardless of financial situation; CBHI services",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,"MassHealth and most private insurance accepted","Adults; children; teens; seniors; families",Unknown,Unknown,"Advocates Community Counseling (formerly Family Continuity, now rebranded under Advocates) has a Haverhill presence offering outpatient mental health and substance use services. Per Psychology Today, Haverhill site accepts MassHealth and most major commercial insurance. For more than 30 years, Advocates has assisted people experiencing mental health, addiction, and life difficulties.","Psychology Today Haverhill listing; Advocates website",https://advocates.org,,,42.792639,-71.072501,1,place,,,"Haverhill, MA 01830",,,,,,Haverhill,MA,,"Essex County",01830,US,,"TIGER/Line® from the US Census Bureau",,
"Advocates Inc.","Community-Based Mental Health and Residential Services – Norwood/Dedham area","Advocates Inc.","Community Mental Health Clinic",https://www.advocates.org,508-628-6400,Unknown,"1 Hopkinton Road",Milford,MA,1757,"Worcester (HQ); serves some Norfolk County communities",Multiple,"MetroWest and adjacent Norfolk County communities including Norwood, Dedham, Walpole",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,"Adults with serious mental illness","Individual Therapy; Care Coordination; Case Management; Other – residential support, employment, housing",Yes,No,"Yes – community-based",No,No,No,No,"Home-based; Clinic; Community Center","Adult Community Clinical Services (ACCS); residential services; supported housing; employment services; peer support; DMH-funded; serves some adjacent Norfolk County communities",Unknown,Unknown,Unknown,Unknown,No,"Yes – DMH-funded; MassHealth",No,No,Unknown,No,"DMH-eligible adults; MassHealth funded","Adults with serious mental illness meeting DMH eligibility in service area","Residential support; supported employment; housing",Unknown,"DMH; local hospitals; Riverside CBHC","Advocates Inc. provides DMH-funded community-based mental health, residential, and employment services for adults with serious mental illness in MetroWest and adjacent Norfolk County communities including Norwood, Dedham, and Walpole. Services require DMH eligibility and are primarily MassHealth-funded.","Org website",https://www.advocates.org,,42.171738,-71.18111,1,county,,,"Norfolk County, MA",,,,,,,MA,,"Norfolk County",,US,,"TIGER/Line® from the US Census Bureau",,
"Advocates, Inc.","Advocates CBHC – Framingham","Advocates, Inc.","Community Behavioral Health Center",https://www.advocates.org,"(800) 640-5432",Unknown,"1094 Worcester Road",Framingham,MA,1702,Middlesex,"2 (Framingham + Waltham)","Framingham area and surrounding Middlesex communities",Hybrid,Yes,"Middlesex County communities served",Unknown,Unknown,Unknown,"Yes – no insurance required for crisis services",Unknown,"Individual Therapy; Group Therapy; Psychiatric Medication Management; Peer Support; Addiction Recovery; Crisis Services; Care Coordination",Yes,Yes,"Yes – mobile crisis teams",No,No,Unknown,No,"Clinic; Community/Mobile","Recovery coaching; peer specialist support; family support specialist; addiction recovery; community crisis stabilization",Unknown,Unknown,Unknown,Unknown,Unknown,"Yes – all MassHealth plans",Unknown,"Yes – many commercial plans","Yes – crisis services no insurance required",Unknown,"Crisis services free/no insurance needed; outpatient covered by MassHealth and many commercial plans","Open to all MA residents for crisis; routine outpatient by enrollment","Community crisis stabilization (overnight); extended hours 8am–8pm weekdays, 9am–5pm weekends",Unknown,Unknown,"Advocates CBHC in Framingham provides one-stop behavioral health services including 24/7 crisis care, outpatient therapy, psychiatric consultations, and peer support. Crisis services are available without insurance. The CBHC serves Framingham and surrounding Middlesex communities.","Mass.gov CBHC location list",https://www.mass.gov/locations/advocates-cbhc-framingham,,42.299004,-71.441923,1,rooftop,"1094 Worcester Rd",,"Framingham, MA 01702",,1094,"Worcester Rd",,,Framingham,MA,,"Middlesex County",01702,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnepa5dkx6r9ra6gd8uyw43ygze2,building_centroid
"Advocates, Inc.","Advocates CBHC – Waltham","Advocates, Inc.","Community Behavioral Health Center",https://www.advocates.org,"(800) 640-5432",Unknown,"675 Main Street",Waltham,MA,2452,Middlesex,"2 (Framingham + Waltham)","Waltham area and surrounding Middlesex communities",Hybrid,Yes,"Middlesex County communities served",Unknown,Unknown,Unknown,"Yes – no insurance required for crisis services",Unknown,"Individual Therapy; Group Therapy; Psychiatric Medication Management; Peer Support; Addiction Recovery; Crisis Services; Care Coordination",Yes,Yes,"Yes – mobile crisis teams",No,No,Unknown,No,"Clinic; Community/Mobile","Recovery coaching; peer specialist support; family support specialist; community crisis stabilization",Unknown,Unknown,Unknown,Unknown,Unknown,"Yes – all MassHealth plans",Unknown,"Yes – many commercial plans","Yes – crisis services no insurance required",Unknown,"Crisis services free/no insurance needed; outpatient covered by MassHealth and many commercial plans","Open to all MA residents for crisis; routine outpatient by enrollment","Community crisis stabilization; extended hours 8am–8pm weekdays, 9am–5pm weekends",Unknown,Unknown,"Advocates CBHC in Waltham provides comprehensive mental health and substance use services, including 24/7 crisis care, outpatient therapy, psychiatric evaluation, and peer support. Walk-in crisis services are available to all regardless of insurance.","Mass.gov CBHC location list",https://www.mass.gov/locations/advocates-cbhc-waltham,,42.376364,-71.237303,0.94,nearest_rooftop_match,"677 Main St",,"Waltham, MA 02451",,677,"Main St",,,Waltham,MA,,"Middlesex County",02451,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnpr9tdw6bvdjdgb8z3zwdk94lkh,parcel_centroid
"Advocates, Inc.","Advocates Community Counseling – Marlborough","Advocates, Inc.","Crisis/Urgent Care",https://www.advocates.org,"(508) 661-2038",Unknown,"340 Maple Street, Suite 400",Marlborough,MA,1752,Middlesex,Multiple,"Marlborough and surrounding Middlesex communities",Hybrid,Yes,"Middlesex County",Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Psychiatric Medication Management; Crisis Services",Yes,Yes,No,No,No,Unknown,No,Clinic,"Walk-in access available",Unknown,Unknown,Unknown,Unknown,Unknown,"Yes – MassHealth (BH Urgent Care site)",Unknown,Unknown,Unknown,Unknown,"BH Urgent Care site; all ages; Mon–Thu 8am–6pm (walk-in access), Fri 9am–5pm, 2nd & 4th Sunday 9am–1pm","All ages",Unknown,Unknown,Unknown,"Advocates Community Counseling in Marlborough is a BH Urgent Care site with walk-in access Mon–Fri and 2nd/4th Sunday hours, offering same/next-day evaluations and telehealth for all ages.","Mass.gov BH Urgent Care CSV (4/10/26)",https://www.mass.gov/info-details/behavioral-health-urgent-care,,42.335816,-71.541065,1,rooftop,"340 Maple St","Ste 400","Marlborough, MA 01752",,340,"Maple St",Ste,400,Marlborough,MA,,"Middlesex County",01752,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnwpha2d52k5gtfq95fn5n7cacuc-t3dswdxjxvgne,building_centroid
"Advocates, Inc.","Advocates Residential and Community Services","Advocates, Inc.","Residential/Detox; Community Mental Health Clinic",https://www.advocates.org,"(508) 879-8600",Unknown,"1 Fredrick Abbott Way",Framingham,MA,1701,Middlesex,"Multiple across Middlesex County","Middlesex County and MetroWest",Hybrid,Yes,"Middlesex County",Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Group Therapy; Case Management; Care Coordination; Home-Based Services; Residential Treatment; Peer Support",Yes,Yes,"Yes – home-based; community-based",No,No,Unknown,No,"Clinic; Residential; Community-based; Home-based","Residential services for adults with mental illness; forensic mental health; traumatic brain injury services; developmental disabilities; substance use residential",Unknown,Unknown,Unknown,Unknown,Unknown,"Yes – MassHealth; DMH",Yes,Unknown,Unknown,Unknown,"DMH and MassHealth-funded","Adults with mental illness, developmental disabilities, TBI; Middlesex County","Forensic mental health; TBI; developmental disabilities alongside mental health",Unknown,"DCF; DMH; DDS; NAMI Central Middlesex","Advocates, Inc. is a major Middlesex County provider of residential, community-based, and clinical mental health and disability services, including the Framingham and Waltham CBHCs (Batch 1). The Framingham HQ also manages residential treatment, forensic mental health, TBI services, and community support for adults with SMI and developmental disabilities.","Advocates website; NAMI Central Middlesex resources",https://www.advocates.org,,42.299682,-71.416399,1,rooftop,"1 Frederick Abbott Way",,"Framingham, MA 01701",,1,"Frederick Abbott Way",,,Framingham,MA,,"Middlesex County",01701,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2dadc9llt3ll45lmj5fnhace2f,building_centroid
"Advocates, Inc.","Advocates Community Counseling – Framingham Outpatient","Advocates, Inc.","Community Mental Health Clinic",https://www.advocates.org,"(508) 661-2038",Counseling@Advocates.org,"354 Waverly Street",Framingham,MA,1702,Middlesex,Multiple,"Framingham and surrounding MetroWest communities",Hybrid,Yes,"Middlesex County",Unknown,Unknown,Unknown,Unknown,"LGBTQ+; military families; transitional-age youth","Individual Therapy; Group Therapy; Psychiatric Medication Management; Care Coordination; Crisis Services",Yes,Yes,No,No,No,Unknown,No,Clinic,"Outpatient counseling; trauma therapy; DBT; suicide prevention; court-ordered outpatient; LGBTQ+ affirming; military family specialty; transitional-age youth programming; education services",Unknown,Unknown,Unknown,Unknown,"LGBTQ+; military families; transitional-age youth","Yes – MassHealth",Unknown,Unknown,Unknown,Unknown,"MassHealth and private insurance","Adults, seniors, transitional-age youth; Framingham area","DBT; trauma; LGBTQ+ affirming; military families",Unknown,"DCF; DMH","Advocates Community Counseling in Framingham (354 Waverly St) is a distinct outpatient clinic from the CBHC, offering individual therapy, psychiatry, DBT, trauma therapy, and court-ordered outpatient treatment, with LGBTQ+-affirming care and specialty for military families and transitional-age youth.","MentalHealthDirectory.net; Waltham city resources",https://www.advocates.org,,42.276942,-71.413858,1,rooftop,"354 Waverly St",,"Framingham, MA 01702",,354,"Waverly St",,,Framingham,MA,,"Middlesex County",01702,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnrytxbpfujw88egxfcbsx7lrmzf,building_centroid
"Advocates, Inc.","Advocates – Virtual Peer Support Groups","Advocates, Inc.","Peer-Run/Mutual Aid",https://www.advocates.org,"(508) 879-8600",Unknown,"1 Frederick Abbott Way",Framingham,MA,1701,Middlesex,"Statewide (virtual)","Middlesex County and statewide",Telehealth-only,Yes,"Massachusetts statewide",Unknown,Unknown,Unknown,Unknown,Unknown,"Support Groups; Peer Support",No,No,No,No,No,No,No,Telehealth-only,"Free virtual peer support groups for individuals with mental health conditions and developmental disabilities; offered through Advocates' residential and community services network",Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,"Yes – free",No,Free,"Adults with mental health conditions or developmental disabilities in Massachusetts","Virtual peer support groups; community connections",Unknown,"NAMI Central Middlesex; DMH","Advocates, Inc. offers free virtual peer support groups for adults with mental health conditions and developmental disabilities throughout Massachusetts, including Middlesex County, as part of its broader community mental health services network.","NAMI Central Middlesex resources page",https://www.advocates.org,,42.299682,-71.416399,1,rooftop,"1 Frederick Abbott Way",,"Framingham, MA 01701",,1,"Frederick Abbott Way",,,Framingham,MA,,"Middlesex County",01701,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2dadc9llt3ll45lmj5fnhace2f,building_centroid
"Advocates, Inc.","Advocates Community Counseling – Waltham Outpatient","Advocates, Inc.","Community Mental Health Clinic",https://www.advocates.org,"(781) 647-4748",Counseling@Advocates.org,"395 Totten Pond Road",Waltham,MA,2451,Middlesex,Multiple,"Waltham and surrounding Middlesex communities",Hybrid,Yes,"Middlesex County",Unknown,Unknown,Unknown,Unknown,"LGBTQ+; military families; transitional-age youth","Individual Therapy; Group Therapy; Psychiatric Medication Management; Care Coordination; Crisis Services; IOP",Yes,Yes,No,No,No,Unknown,No,Clinic,"Outpatient counseling; trauma therapy; DBT; IOP; LGBTQ+ affirming; military family specialty; transitional-age youth; evening/weekend hours",Unknown,Unknown,Unknown,Unknown,"LGBTQ+; military families; transitional-age youth","Yes – MassHealth",Unknown,Unknown,Unknown,Unknown,"MassHealth and private insurance","Adults, seniors, transitional-age youth; Waltham area","DBT; trauma; IOP; LGBTQ+ affirming; military families",Unknown,"Edinburg Center; NAMI Central Middlesex","Advocates Community Counseling in Waltham (395 Totten Pond Road) provides outpatient therapy, IOP, psychiatry, DBT, trauma therapy, and LGBTQ+-affirming services for adults and transitional-age youth in the Waltham area, with evening and weekend hours.","Advocates website; Waltham city MH resources; MentalHealthDirectory.net",https://www.advocates.org,,42.398115,-71.253439,1,rooftop,"395 Totten Pond Rd",,"Waltham, MA 02451",,395,"Totten Pond Rd",,,Waltham,MA,,"Middlesex County",02451,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjy9n3ksu7evpd4dmng2ut9yty5,building_centroid
"African Center of the Merrimack Valley","African Center of the Merrimack Valley","African Center of the Merrimack Valley","Community-Based Organization",Unknown,Unknown,Unknown,Unknown,Lowell,MA,Unknown,Middlesex,1,"Greater Lowell area; African immigrant communities",Unknown,Unknown,Unknown,"Yes – explicitly African immigrant communities",Unknown,Unknown,Unknown,"African immigrants and diaspora communities in Greater Lowell","Community Outreach; Case Management; Support Groups; Referrals",No,No,No,No,No,Unknown,No,"Community Center","Community support; cultural events; health education; referrals to mental health services; community integration",Unknown,Unknown,Unknown,Unknown,"African immigrant community",Unknown,Unknown,Unknown,"Yes – free",Unknown,"Free community services","African immigrant and refugee communities in Greater Lowell","Cultural community support; MH referral navigation",Unknown,"Lowell CHC; GLHA; CMAA","The African Center of the Merrimack Valley in Lowell provides community support, health education, and social services for African immigrant communities, serving as a cultural bridge and referral source for mental health services. Listed as a GLHA partner.","GLHA partner organization list",https://www.greaterlowellhealthalliance.org/who-we-are/partner-organizations/,,42.656045,-71.303309,1,place,,,"Lowell, MA 01850",,,,,,Lowell,MA,,"Middlesex County",01850,US,,"TIGER/Line® from the US Census Bureau",,
"African Community Education (ACE)","Mental Health and Community Support for African Immigrant Youth and Families","African Community Education","Immigrant/Refugee Service Organization",https://aceboston.org,617-288-8988,Unknown,"51 Academy Drive",Worcester,MA,1605,"Worcester (office); serves Greater Boston including Quincy",1,"Greater Boston area including Norfolk County African communities",Hybrid,Yes,"Greater Boston area","Yes – serves refugees and asylees",Yes,Unknown,Yes,"African immigrant community (Sub-Saharan Africa; Somalia; Ethiopia; Eritrea; Kenya; West Africa broadly)","Individual Therapy; Support Groups; Care Coordination; Other – mentorship, educational support, cultural programming",Unknown,No,No,No,No,No,No,"Community Center; Schools","Youth academic support; African cultural programming; health and wellness workshops; mental health navigation; community-based support for African immigrant youth; mentorship; parent engagement; connections to health services; outreach to Quincy/South Shore African communities","Multiple African languages (varies by staff)",Unknown,Unknown,"Multiple African languages","Yes – African community culturally specific",No,No,No,No,No,"Free; grant-funded","African immigrant children, youth, families; all immigration statuses","African immigrant youth support; culturally specific programming; educational and mental health integration","Serves African immigrant families including refugees and asylees","Local schools; community health centers; African immigrant community organizations","African Community Education (ACE) provides educational support, cultural programming, and mental health navigation for African immigrant youth and families in the Greater Boston area, including Quincy and Norfolk County's growing African immigrant communities. While primarily Worcester-based, ACE maintains outreach in the South Shore.","Org website",https://aceboston.org,,42.241799,-71.006042,0.1,place,,,"Quincy, MA 02169",,,,,,Quincy,MA,,"Norfolk County",02169,US,,"TIGER/Line® from the US Census Bureau",,
"Agencia ALPHA","Social Services and Mental Health Navigation for Latino Immigrant Community","Agencia ALPHA","Community-Based Organization; Immigrant/Refugee Service Organization",https://www.agenciaalpha.org/,Unknown,Unknown,"Unknown (Boston area)",Boston,MA,Unknown,Suffolk,Unknown,"Boston / Greater Boston","In-person only",No,Unknown,Yes,Yes,Yes,Yes,"Latino immigrant community; undocumented individuals; Spanish-speaking immigrants","Case Management; Advocacy; Referrals; Psychoeducation",No,No,No,No,No,No,No,"Community Center","Immigration advocacy; social services navigation; mental health referrals; community organizing; new arrival support",Spanish,Spanish,Unknown,Spanish,"Latino immigrant community social services and mental health navigation",Unknown,Unknown,Unknown,Unknown,Unknown,Free,"Latino immigrants in Greater Boston","Mental health navigation; immigration advocacy; new arrival support","Latino immigrant community including undocumented individuals","MIRA Coalition co-chair; Massachusetts Immigrant Collaborative; Brazilian Worker Center","Agencia ALPHA is a co-chair of the Massachusetts Immigrant Collaborative (MIC) and serves Latino immigrants—including undocumented individuals—with social services navigation, immigration advocacy, and mental health referrals in Greater Boston.","Brazilian Worker Center website; MIRA Coalition",https://www.agenciaalpha.org/,,0,0,0,,,,,,"Could not geocode address. No matches found.",,,,,,,,,,,,,
AgeSpan,"Elder Services of the Merrimack Valley and North Shore – Mental Health and Care Management",AgeSpan,Other,https://agespan.org,"(800) 892-0890",Unknown,"280 Merrimack Street, Suite 400",Lawrence,MA,1843,Essex,"Multiple outreach sites","Essex County; Merrimack Valley",Hybrid,Yes,"Essex County",Unknown,Unknown,Unknown,Unknown,"Elders (60+); family caregivers","Care Coordination; Case Management; Other (information; referral; caregiver support)",No,No,Yes,No,Unknown,Unknown,Unknown,"Clinic; Home-based","Elder mental health information and referral; behavioral health navigation for elders; caregiver support and respite; care management to help elders access mental health services; home-based coordination",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,"Free to elders 60+ and their caregivers","Elders 60+ and disabled adults residing in northeast Massachusetts","Elder-specific care coordination; caregiver respite","GLFHC; YWCA; Eliot; BILH","AgeSpan (Elder Services of the Merrimack Valley and North Shore) provides care management, mental health navigation, and caregiver support for elders 60+ across Essex County. While not a clinical mental health provider, it coordinates access to behavioral health services and provides caregiver respite programs.","NECC Health page; AgeSpan website",https://agespan.org,,,42.703145,-71.148477,1,rooftop,"280 Merrimack St","Ste 400","Lawrence, MA 01843",,280,"Merrimack St",Ste,400,Lawrence,MA,,"Essex County",01843,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnhmlpa7946cf8dws8592jscebz2-6ksfgju2z3fm8,building_centroid
